S NO.,Date,Nifty50_Open,SPOTRATE_CLOSE,SR_OUTPUT,SP500_CLOSE,SP500_OUTPUT,NASDAQ100_CLOSE,NASDAQ_OUTPUT,CRUDE_OIL_CLOSE,CRUDE_OIL_OUTPUT,LSE_CLOSE,LSE_OUTPUT
141,24-12-2021,17149.5,15.26,0.33,4758.49,1,16437.86,1.17,0.89,1.26,6984,1.18
142,23-12-2021,17066.8,15.28,0.2,4725.78,0.78,16308.21,1.07,73.79,2.32,7020,3.07
143,22-12-2021,16865.55,14.76,0.48,4696.56,1.12,16180.14,1.5,72.76,3.33,6924,2.51
144,21-12-2021,16773.15,14.67,2.53,4649.23,1.48,15986.28,2.43,71.12,4.36,6804,2.01
145,20-12-2021,16824.25,14.92,1.07,4568.02,1.25,15627.64,0.99,68.23,6.1,6746,1.99
146,17-12-2021,17276,15.35,0,4620.64,1.45,15801.46,1.89,70.86,3.39,6808,2.52
147,16-12-2021,17373,14.76,1.1,4668.67,1.72,15863.94,3.4,72.38,2.76,6730,2.64
148,15-12-2021,17323.65,14.01,1.07,4709.84,2.2,16289.59,3.52,70.87,3.27,6740,2.19
149,14-12-2021,17283.2,14.33,1.74,4634.09,1.17,15914.9,1.6,70.73,3.63,6770,2.24
150,13-12-2021,17619.1,14.58,1.1,4669.15,0.91,16082.55,1.6,71.29,3.24,6686,1.91
151,10-12-2021,17476.05,14.19,0.56,4712.02,0.93,16331.98,1.24,71.67,2.86,6742,1.93
152,09-12-2021,17524.4,14.35,2.02,4667.45,0.63,16149.57,1.68,70.94,4.19,6642,2.8
153,08-12-2021,17315.25,14.67,0.82,4701.21,0.65,16394.34,0.93,72.36,2.95,6758,1.96
154,07-12-2021,17044.1,14.49,0.48,4686.75,1.34,16325.66,1.33,72.05,5.05,6712,1.45
155,06-12-2021,17209.05,14.5,0.48,4591.67,1.59,15846.16,2.19,69.49,5.14,6590,1.75
156,03-12-2021,17424.9,14.07,0.5,4538.43,2.51,15712.04,3.51,66.26,5.52,6524,2.83
157,02-12-2021,17183.2,14.28,0.99,4577.1,2.01,15990.76,1.87,66.5,8.11,6582,2.04
158,01-12-2021,17104.4,14.7,1.45,4513.04,3.16,15877.72,3.55,65.57,7.17,6752,3.89
159,30-11-2021,17051.15,15.21,1.88,4567,1.89,16135.92,2.37,66.18,10.54,6502,5.69
160,29-11-2021,17055.8,15.13,1.06,4655.27,1.03,16399.24,1.37,69.95,5.91,6870,2.55
161,26-11-2021,17338.75,15.43,0.65,4594.62,1.73,16025.58,1.96,68.15,16.69,6850,3
162,25-11-2021,17417.3,14.98,1,4648.04,1.32,16367.81,1.64,77.41,1.77,6824,1.99
163,24-11-2021,17550.05,15.07,0.07,4701.46,0.92,16306.72,1.83,78.39,1.6,6810,4.27
164,23-11-2021,17281.75,15.22,1.91,4690.7,1,16380.98,2.38,78.5,4.73,6734,2.52
165,22-11-2021,17796.25,16.81,1.07,4682.95,1.32,16573.34,0.62,76.75,3.21,6684,2.57
166,18-11-2021,17890.55,17.6,1.08,4706.64,0.77,16482.97,1.18,79.01,2.96,6680,2.39
167,17-11-2021,17939.35,17.51,0.52,4688.67,0.36,16308.07,0.75,78.36,3.86,6666,6.05
168,16-11-2021,18127.05,18.01,2.04,4700.9,0.76,16309.77,1.07,80.76,2.22,7094,1.92
169,15-11-2021,18140.95,17.46,0,4682.81,0.53,16189.11,1,80.88,2.4,7166,4.52
170,12-11-2021,17977.6,17.12,0.47,4682.85,0.81,16199.89,1.29,80.79,2.31,6938,1.85
171,11-11-2021,17967.45,17.36,0.99,4649.27,0.35,16032.47,0.6,81.59,2.66,6992,2.62
172,10-11-2021,17973.45,15.88,0.5,4646.71,1.17,15985.57,2.01,81.34,5.15,7108,1.45
173,09-11-2021,18084.35,15.83,0.19,4685.25,0.81,16219.93,1.44,84.15,3.48,7046,1.28
174,08-11-2021,18040.2,15.59,0.97,4701.7,0.44,16336.03,0.54,81.93,2,7098,1.31
